Code,RQ,Participant,Strand,Data_Type,Source_Tag,Dimension,Data_Point,Paired_With,Classification,Notes
NRO4,RQ1b,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3 loadings,Caring About Others vs. Self-Centered — PC1 = 0.469; PC2 = -0.012; PC3 = 0.065,,,
NRO5,RQ1b,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3 loadings,Marginalized Culture vs. Dominant Culture — PC1 = 0.363; PC2 = -0.117; PC3 = -0.422,,,
NRO6,RQ1b,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3 loadings,Culturally Competent vs. Neglects Importance of Culture — PC1 = 0.323; PC2 = -0.528; PC3 = 0.177,,,
NRO7,RQ1b,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3 loadings,Open-Minded vs. Rigid — PC1 = 0.285; PC2 = -0.192; PC3 = 0.747,,,
NRO8,RQ1b,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3 loadings,Adherence to AA/1 Size Fits All vs. Individualized Treatment — PC1 = 0.075; PC2 = 0.671; PC3 = 0.233,,,
NRO9,RQ1b,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3 loadings,Dominating Behavior vs. Submissive Behavior — PC1 = -0.366; PC2 = -0.441; PC3 = -0.134,,,
NRO10,RQ1b,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3 loadings,Significant AUD vs. Abstinence — PC1 = -0.384; PC2 = 0.120; PC3 = 0.342,,,
NRO11,RQ1b,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3 loadings,Masculine vs. Feminine — PC1 = -0.420; PC2 = -0.160; PC3 = 0.197,,,
NLL12,RQ1b,Lisa,QUANT,Element Position,Lisa People Grid,SU Personal Connection,"Friend w/SUD (E5) ≈ -2.5 PC1, ≈ -4.3 PC2. Empathetic-familiarity side of PC1; extreme peer-critique region on PC2.",,,
NLL13,RQ1b,Lisa,QUANT,Element Position,Lisa People Grid,SU Personal Connection,"Acquaintance w/SUD (E6) ≈ 8.0 PC1, ≈ -2.0 PC2. Dysfunction pole of PC1; near Difficult Client.",,,
NRR11,RQ1b,Ramona,QUANT,Element Position,Ramona People Grid,SU Personal Connection,"Family w/SUD (E5) ≈ 7.0 PC1, ≈ 1.1 PC2. Dysfunction end; structurally adjacent to Addict, Mentally Unstable, and Narcissistic construct vectors.",,,
NRR12,RQ1b,Ramona,QUANT,Element Position,Ramona People Grid,SU Personal Connection,"Friend (E6) ≈ -3.5 PC1, ≈ -1.9 PC2. Stability side of PC1, near Self.",,,
NSS13,RQ1b,Seth,QUANT,Element Position,Seth People Grid,SU Personal Connection,"Family w/SUD (E5) ≈ 2.5 PC1, ≈ -2.6 PC2. Dissonance side of PC1; personal-closeness pole on PC2.",,,
NSS14,RQ1b,Seth,QUANT,Element Position,Seth People Grid,SU Personal Connection,"Friend (E6) ≈ -1.5 PC1, ≈ -1.7 PC2. Alignment side of PC1; near Self on both components.",,,
NRO12,RQ1b,Rose,QUANT,Element Position,Rose People Grid,SU Personal Connection,"Family w/SUD Dad (E5) ≈ 7.5 PC1, ≈ -1.1 PC2. Dominating end of PC1; near Difficult Client.",,,
NRO13,RQ1b,Rose,QUANT,Element Position,Rose People Grid,SU Personal Connection,"Another Family Mom (E6) ≈ -5.0 PC1, ≈ 3.8 PC2. Compassionate pole of PC1; extreme rigid-submission on PC2.",,,
NLL14,RQ1b,Lisa,QUANT,Element Position,Lisa People Grid,Client Element,"Strong Client Relationship (E3) ≈ -0.5 PC1, ≈ 3.0 PC2. Empathetic side of PC1; outsider-idealization region on PC2.",,,
NLL15,RQ1b,Lisa,QUANT,Element Position,Lisa People Grid,Client Element,"Difficult Client (E4) ≈ 8.5 PC1, ≈ -0.8 PC2. Most extreme dysfunction position on PC1.",,,
NLL16,RQ1b,Lisa,QUANT,Element Position,Lisa People Grid,Client Element,"Culturally Different Client (E9) ≈ 4.5 PC1, ≈ 2.7 PC2. Moderate dysfunction on PC1; outsider-idealization region on PC2.",,,
NRR13,RQ1b,Ramona,QUANT,Element Position,Ramona People Grid,Client Element,"Strong Client Relationship (E3) ≈ -4.5 PC1, ≈ 0.8 PC2. Stability side of PC1; separated from Self cluster on PC2.",,,
NRR14,RQ1b,Ramona,QUANT,Element Position,Ramona People Grid,Client Element,"Difficult Client (E4) ≈ 13.0 PC1, ≈ -1.5 PC2. Extreme dysfunction pole.",,,
NRR15,RQ1b,Ramona,QUANT,Element Position,Ramona People Grid,Client Element,"Culturally Different Client (E9) ≈ 5.0 PC1, ≈ -2.5 PC2. Dysfunction side of PC1.",,,
NSS15,RQ1b,Seth,QUANT,Element Position,Seth People Grid,Client Element,"Strong Client Relationship (E3) ≈ 2.0 PC1, ≈ 1.0 PC2. Moderate dissonance on PC1; mentor region on PC2.",,,
NSS16,RQ1b,Seth,QUANT,Element Position,Seth People Grid,Client Element,"Difficult Client (E4) ≈ 4.0 PC1, ≈ -0.2 PC2. Extreme dissonance on PC1.",,,
NSS17,RQ1b,Seth,QUANT,Element Position,Seth People Grid,Client Element,"Culturally Different Client (E9) ≈ 2.0 PC1, ≈ 1.0 PC2. Near Strong Client Relationship on both components.",,,
NRO14,RQ1b,Rose,QUANT,Element Position,Rose People Grid,Client Element,"Strong Client Relationship (E3) ≈ 4.0 PC1, ≈ 2.8 PC2. Moderate dominating on PC1; rigid-submission region on PC2.",,,
NRO15,RQ1b,Rose,QUANT,Element Position,Rose People Grid,Client Element,"Difficult Client (E4) ≈ 10.5 PC1, ≈ 0.5 PC2. Extreme dominating-self-centered pole.",,,
NRO16,RQ1b,Rose,QUANT,Element Position,Rose People Grid,Client Element,"Culturally Different Client (E9) ≈ -1.0 PC1, ≈ 0.0 PC2. Center of biplot.",,,
NLL17,RQ1b,Lisa,QUANT,Inter-Element Relationship,Lisa People Grid,E5/E6 contrast,Friend w/SUD (E5) on empathetic-familiarity side (≈ -2.5 PC1) while Acquaintance w/SUD (E6) at dysfunction pole (≈ 8.0 PC1). Both are substance users. Relational closeness rather than substance use status is the structural differentiator.,,,
NLL18,RQ1b,Lisa,QUANT,Inter-Element Relationship,Lisa People Grid,E5 to PC2,"Friend w/SUD (E5) at extreme negative PC2 (≈ -4.3), anchoring the peer-critique pole. Lisa evaluates her close substance-using friend more harshly on the secondary dimension than any other element, even while holding her near Self on the dominant dimension.",,,
NLL19,RQ1b,Lisa,QUANT,Inter-Element Relationship,Lisa People Grid,E6 to E4 proximity,Acquaintance w/SUD (E6) at ≈ 8.0 PC1 and Difficult Client (E4) at ≈ 8.5 PC1. Structurally indistinguishable on the dominant dimension.,,,
NLL20,RQ1b,Lisa,QUANT,Inter-Element Relationship,Lisa People Grid,E5 to E3 distance,Friend w/SUD (E5) at ≈ -2.5 PC1 and Strong Client Relationship (E3) at ≈ -0.5 PC1. Both on the empathetic-familiarity side. Separated by 7.3 units on PC2 (≈ -4.3 vs. ≈ 3.0).,,,
NLL21,RQ1b,Lisa,QUANT,Inter-Element Relationship,Lisa People Grid,E5 to E4 distance,Friend w/SUD (E5) at ≈ -2.5 PC1 and Difficult Client (E4) at ≈ 8.5 PC1. Maximum PC1 separation among substance-using elements.,,,
NLL22,RQ1b,Lisa,QUANT,Inter-Element Relationship,Lisa People Grid,E9 to E5/E6,"Culturally Different Client (E9) at ≈ 4.5 PC1, positioned between Friend w/SUD (≈ -2.5) and Acquaintance w/SUD (≈ 8.0). Closer to the acquaintance than the friend on the dominant dimension.",,,
NRR16,RQ1b,Ramona,QUANT,Inter-Element Relationship,Ramona People Grid,E5/E6 contrast,Family w/SUD (E5) at dysfunction pole (≈ 7.0 PC1) while Friend (E6) near Self on stability side (≈ -3.5 PC1). Substance use status is the structural differentiator.,,,
NRR17,RQ1b,Ramona,QUANT,Inter-Element Relationship,Ramona People Grid,E5 to pathology cluster,"Family w/SUD (E5) structurally adjacent to Addict (-0.762), Mentally Unstable (-0.956), and Narcissistic and Passive Aggressive (-0.911) construct vectors.",,,
NRR18,RQ1b,Ramona,QUANT,Inter-Element Relationship,Ramona People Grid,E5 to E4 distance,Family w/SUD (E5) at ≈ 7.0 PC1 and Difficult Client (E4) at ≈ 13.0 PC1. Both on the dysfunction side; E4 nearly twice as far from origin.,,,
NRR19,RQ1b,Ramona,QUANT,Inter-Element Relationship,Ramona People Grid,E5 to E3 distance,Family w/SUD (E5) at ≈ 7.0 PC1 and Strong Client Relationship (E3) at ≈ -4.5 PC1. Separated by 11.5 units on PC1. Opposite regions of the dominant dimension.,,,
NRR20,RQ1b,Ramona,QUANT,Inter-Element Relationship,Ramona People Grid,E6 to E3 proximity,Friend (E6) at ≈ -3.5 PC1 and Strong Client Relationship (E3) at ≈ -4.5 PC1. Close on PC1 (1.0 unit). Non-using personal connection and connected client share the stability region.,,,
NRR21,RQ1b,Ramona,QUANT,Inter-Element Relationship,Ramona People Grid,E5 to E9 proximity,Family w/SUD (E5) at ≈ 7.0 PC1 and Culturally Different Client (E9) at ≈ 5.0 PC1. Both on the dysfunction side (2.0 units apart).,,,
NSS18,RQ1b,Seth,QUANT,Inter-Element Relationship,Seth People Grid,E5/E6 contrast,Family w/SUD (E5) at dissonance pole (≈ 2.5 PC1) while Friend (E6) near Self on alignment side (≈ -1.5 PC1). Substance use status differentiates personal connections despite no addiction-specific constructs.,,,
NSS19,RQ1b,Seth,QUANT,Inter-Element Relationship,Seth People Grid,E5 to E4 proximity,Family w/SUD (E5) at ≈ 2.5 PC1 and Difficult Client (E4) at ≈ 4.0 PC1. Close on PC1 (1.5 units). Both on the dissonance side.,,,
NSS20,RQ1b,Seth,QUANT,Inter-Element Relationship,Seth People Grid,E5 to E3 proximity,Family w/SUD (E5) at ≈ 2.5 PC1 and Strong Client Relationship (E3) at ≈ 2.0 PC1. Nearly identical on PC1 (0.5 units). Separated by 3.6 units on PC2.,,,
NSS21,RQ1b,Seth,QUANT,Inter-Element Relationship,Seth People Grid,E5/Self PC2 closeness,"Family w/SUD (E5) and Self share the personal-closeness pole of PC2 (≈ -2.6 and ≈ -2.2), distinguishing E5 from Difficult Client (≈ -0.2 on PC2). Distanced on the theoretical axis, held close on the relational axis.",,,
NSS22,RQ1b,Seth,QUANT,Inter-Element Relationship,Seth People Grid,E9 to E3 proximity,Culturally Different Client (E9) at ≈ 2.0 PC1 and Strong Client Relationship (E3) at ≈ 2.0 PC1. Structurally identical on both axes.,,,
NRO17,RQ1b,Rose,QUANT,Inter-Element Relationship,Rose People Grid,E5/E6 contrast,Family w/SUD Dad (E5) at dominating pole (≈ 7.5 PC1). Another Family Mom (E6) at compassionate pole (≈ -5.0 PC1). Full width of PC1 within the same family. Substance use status is the structural differentiator.,,,
NRO18,RQ1b,Rose,QUANT,Inter-Element Relationship,Rose People Grid,E5 to E4 proximity,Family w/SUD Dad (E5) at ≈ 7.5 PC1 and Difficult Client (E4) at ≈ 10.5 PC1. Both at the dominating pole (3.0 units apart).,,,
NRO19,RQ1b,Rose,QUANT,Inter-Element Relationship,Rose People Grid,E5 to E3 distance,"Family w/SUD Dad (E5) at ≈ 7.5 PC1 and Strong Client Relationship (E3) at ≈ 4.0 PC1. Both on the dominating side (3.5 units on PC1), separated by 3.9 units on PC2. Same side of PC1, different treatment-philosophy regions on PC2.",,,
NRO20,RQ1b,Rose,QUANT,Inter-Element Relationship,Rose People Grid,E6 to E3 distance,Another Family Mom (E6) at ≈ -5.0 PC1 and Strong Client Relationship (E3) at ≈ 4.0 PC1. Opposite sides of PC1 (9.0 units).,,,
NRO21,RQ1b,Rose,QUANT,Inter-Element Relationship,Rose People Grid,E9 positioning,"Culturally Different Client (E9) at ≈ -1.0 PC1, near the center. Structurally distinct from Family w/SUD Dad (≈ 7.5) and Difficult Client (≈ 10.5).",,,
QL1,RQ2,Lisa,QUAL,IPA Theme,GET 2.1,Nonlinear pathway,"Career traversed English degree, 18 years in the music industry, and 11 years as stay-at-home mother; framed non-clinical background as asset exposing her to 'all kinds of people from all kinds of backgrounds'",,,
QL2,RQ2,Lisa,QUAL,IPA Theme,GET 2.2,Credential accumulation,Ongoing degree accumulation as professional habit; 'three more degrees' completed and a sixth planned; self-correction suggests she has lost count,,,
QL3,RQ2,Lisa,QUAL,IPA Theme,GET 3.1,Self-positioning re: substances,"Generational framing of personal experimentation; 'I confess, I smoked a bit of old-fashioned grass and probably took quaaludes a few times'; mock-guilty acknowledgment without pathologizing",,,
QL4,RQ2,Lisa,QUAL,IPA Theme,GET 3.2,Credential question (indirect),Supervisory narrative about trainee assigned to anorexic clients despite visible characteristic mismatch; 'you've lost your credibility instantly'; reveals awareness that credibility is a constructed perception,,,
QL5,RQ2,Lisa,QUAL,IPA Theme,GET 5.1,Theoretical orientation as identity,"Harm reduction as conscious, explicit identity declaration; 'I take a harm reduction stance'; affective attachment to specific theorists (Tatarski, Peele)",,,
QL6,RQ2,Lisa,QUAL,IPA Theme,GET 2,Cross-participant pattern,"Professional identity as ongoing project assembled through credential accumulation, comparison to ideal models; absence of recovery prevents anchoring in singular transformative narrative",,,
QR1,RQ2,Ramona,QUAL,IPA Theme,GET 2.1,Self-constructed pathway,"Graduate program offered no substance use training; advocated for voluntary, unpaid second internship; 'I kind of went in there and made it work for me, actually'",,,
QR2,RQ2,Ramona,QUAL,IPA Theme,GET 2.1,Cooperative formative experience,Developed alongside supervisor Robin who was also new to the role; cooperative arrangement lacking clear hierarchy; likely informed egalitarian therapeutic stance,,,
QR3,RQ2,Ramona,QUAL,IPA Theme,GET 2.2,Education as legitimacy,Elicited 'educated versus non-educated' construct during grid; hesitant to acknowledge its presence; introduced nuance that intelligence exists independently of formal education ('she's a smart cookie'),,,
QR4,RQ2,Ramona,QUAL,IPA Theme,GET 2.3,Ideal Self refinement,"Initially aligned aspirations with clinical supervisors, then self-corrected; 'I also never want to be in a clinical, supervisory role... Maybe the colleague'; rejected hierarchical role, aligned Ideal Self with peer",,,
QR5,RQ2,Ramona,QUAL,IPA Theme,GET 2.3,Leadership reframe,Reframed leadership as service; 'I strive to be as a leader for my clients'; recognized necessity of leadership in group work while rejecting positional authority,,,
QR6,RQ2,Ramona,QUAL,IPA Theme,GET 3.1,Self in relation to addiction,"Liminal substance history translated into therapeutic stance; 'we' language as refusal to other clients; 'when we get ourselves in these positions, when we are actively using' [also serves RQ3]",,,
QR7,RQ2,Ramona,QUAL,IPA Theme,GET 3.1,Alternative credential pathway,Identified colleague whose parents were both in recovery; validated familial proximity as legitimate alternative credential; 'that's what makes her a good counselor',,,
QR8,RQ2,Ramona,QUAL,IPA Theme,GET 3.2,Credential question (direct),Estimated one in five clients directly asked whether she was in recovery; persistent challenges to professional authority from clients,,,
QS1,RQ2,Seth,QUAL,IPA Theme,GET 2.1,Incidental entry,Encountered field through internship placement at adolescent group-care facility; 'never heard of substance use counseling at the time',,,
QS2,RQ2,Seth,QUAL,IPA Theme,GET 2.2,Education as legitimacy,"Explicitly linked credibility to formal credentials and licensure; 'Professional credibility in terms of education...certification basis, or licensure'; educational attainment distinguished him in regional context with many entry-level practitioners",,,
QS3,RQ2,Seth,QUAL,IPA Theme,GET 2.2,Limits of credentials,"Recognized gap between credentials and competence; 'Two different CRSs with the same education. One is a little bit more professional'; 'the papers that you show me, like, that's something, but...'",,,
QS4,RQ2,Seth,QUAL,IPA Theme,GET 2.3,Developmental self-assessment,"'Advanced for where I'm at, but generally, like, still intermediate'; contextualized within six to seven years of experience; compared self against 50-year Hazelden veteran",,,
QS5,RQ2,Seth,QUAL,IPA Theme,GET 2.3,Ideal Self as aspiration,Named Ideal Self as 'a later on type of thing'; 'Always trying to kind of push forward versus being stagnant'; 'Hope that never changes'; aspires to remain in ongoing becoming,,,
QS6,RQ2,Seth,QUAL,IPA Theme,GET 3.2,Recovery as social capital,Observed recovery history functioning as social capital in recovery-dominant workplace culture; deliberated about self-disclosure across institutional settings; engaged in online discussions with counselors from varying recovery backgrounds,,,
QS7,RQ2,Seth,QUAL,IPA Theme,GET 5.1,Theoretical orientation as identity,Distanced self from disease model; defined professional standing through evidence-based biopsychosocial orientation; theoretical commitment served as primary lens for evaluating others,,,
QR0-1,RQ2,Rose,QUAL,IPA Theme,GET 2.1,Delayed pathway,Wanted to help others for years before formal training; delayed by family responsibilities and husband's military career; credential trajectory spanning a decade from associate's through master's in Social Work,,,
QR0-2,RQ2,Rose,QUAL,IPA Theme,GET 2.2,Training gaps,Acknowledged limitations in formal training; 'I wasn't specifically trained on modalities like CBT... There's a lot of Motivational Interviewing'; framed ongoing development as supplement to credentials,,,
QR0-3,RQ2,Rose,QUAL,IPA Theme,GET 3.1,Self-positioning re: substances,Applied clinical lens retrospectively to own past substance use; distinguished former recreational use from current nicotine dependence; non-defensive self-examination,,,
QR0-4,RQ2,Rose,QUAL,IPA Theme,GET 3.1,Parallel credential challenge,"Drew parallel between non-recovering credential question and work with military populations; 'I only have the experience, again, secondhand. Because my husband and my children are in the military'",,,
QR0-5,RQ2,Rose,QUAL,IPA Theme,GET 3.2,Legitimacy anxiety,Described fear of being unable to relate as 'the biggest fear of mine' early in career; fear revolved around relational capacity; intensified by prevalence of recovering counselors in training program,,,
QR0-6,RQ2,Rose,QUAL,IPA Theme,GET 3.3,Fear resolution,Discovered challenges occurred less frequently than feared; 'I can't count on both hands how many times I was asked if I'm in recovery'; 'I've been only asked twice in four years',,,
QR0-7,RQ2,Rose,QUAL,IPA Theme,GET 3.3,Redefinition of experience,"Reframed family-of-origin exposure as alternative experiential credential; 'It has grown my confidence... I have lived experienced with different kinds, if that makes sense'",,,
QR0-8,RQ2,Rose,QUAL,IPA Theme,GET 3,Marginalized identity positioning,Positioned self alongside colleague of color rather than White supervisor; drew on immigrant background as marginalized-group membership; 'How I came in technically part of a marginalized group... Tom's dominant',,,
QR0-9,RQ2,Rose,QUAL,IPA Theme,GET 5.1,Theoretical orientation as identity,Grounded approach in Motivational Interviewing as non-judgmental framework; self-corrected from 'cultural competence' to 'cultural humility'; 'That's the ideal',,,
Q1,RQ2,Lisa,QUANT,Principal Component,Lisa People Grid,PC1,PC1: Empathetic Familiarity vs. Dysfunctionally Distanced (74.36% variance). Dominant dimension organizes people through interpersonal warmth and proximity to self.,,,
Q2,RQ2,Lisa,QUANT,Principal Component,Lisa People Grid,PC2,PC2: Peer Critique vs. Outsider Idealization (12.93% variance). Secondary dimension separates demographic peers from culturally different or younger individuals along an evaluative axis.,,,
Q3,RQ2,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Close to Self vs. Avoidance — PC1 = 0.984; PC2 = --,,,
Q4,RQ2,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,"Patient, Empathetic, Compassionate vs. Biased, Paranoid — PC1 = 0.956; PC2 = -0.181",,,
Q5,RQ2,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Authentic vs. Inauthentic — PC1 = 0.933; PC2 = -0.134,,,
Q6,RQ2,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Fulfilling Life vs. Unfulfilled Life — PC1 = 0.892; PC2 = --,,,
Q7,RQ2,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Culturally Similar vs. Culturally Different — PC1 = 0.790; PC2 = 0.549,,,
Q8,RQ2,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Similar in Age vs. Younger Age — PC1 = 0.754; PC2 = 0.625,,,
Q9,RQ2,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,"Arrogant, Rude vs. Polite, Respectful — PC1 = -0.865; PC2 = 0.272",,,
Q10,RQ2,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Makes Poor Choices vs. Makes Better Choices — PC1 = -0.678; PC2 = 0.460,,,
Q11,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Self (E1),"Self (E1) ≈ -6.5 PC1, ≈ -1.0 PC2",,,
Q12,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Ideal Self (E2),"Ideal Self (E2) ≈ -7.0 PC1, ≈ -1.0 PC2",,,
Q13,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Strong Client (E3),"Strong Client Relationship (E3) ≈ 0.0 PC1, ≈ +3.0 PC2",,,
Q14,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Difficult Client (E4),"Difficult Client (E4) ≈ +8.0 PC1, ≈ -1.0 PC2",,,
Q15,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Friend w/SUD (E5),"Friend w/SUD (E5) ≈ -2.0 PC1, ≈ -4.3 PC2",,,
Q16,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Acquaintance w/SUD (E6),"Acquaintance w/SUD (E6) ≈ +8.0 PC1, ≈ -2.1 PC2",,,
Q17,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Supervisor (E7),"Supervisor (E7) ≈ -5.0 PC1, ≈ +1.5 PC2",,,
Q18,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Admired Colleague (E8),"Admired Colleague (E8) ≈ -2.5 PC1, ≈ +3.1 PC2",,,
Q19,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Culturally Different Client (E9),"Culturally Different Client (E9) ≈ +5.0 PC1, ≈ +2.7 PC2",,,
Q20,RQ2,Lisa,QUANT,Element Position,Lisa People Grid,Disagreeable Colleague (E10),"Disagreeable Colleague (E10) ≈ +5.0 PC1, ≈ -1.0 PC2",,,
Q21,RQ2,Lisa,QUANT,Element Distance,Lisa People Grid,Self-Ideal Self,"≈ 0.5 units on PC1, negligible on PC2. High congruence between current and aspirational professional selves.",,,
Q22,RQ2,Lisa,QUANT,Element Distance,Lisa People Grid,Self-Admired Colleague,PC1 ≈ 4.0 units (same pole); PC2 ≈ 4.1 units (opposite ends). Admired Colleague shares primary warmth-familiarity orientation with Self; secondary dimension separates them.,,,
Q23,RQ2,Lisa,QUANT,Element Distance,Lisa People Grid,Self-Supervisor,PC1 ≈ 1.5 units (same pole); PC2 ≈ 2.5 units. Supervisor shares primary orientation with Self; moderate secondary separation.,,,
Q24,RQ2,Lisa,QUANT,Element Distance,Lisa People Grid,Admired Colleague-Ideal Self,PC1 ≈ 4.5 units; PC2 ≈ 4.1 units. Admired Colleague and Ideal Self occupy the same PC1 pole but different PC2 positions.,,,
Q25,RQ2,Ramona,QUANT,Principal Component,Ramona People Grid,PC1,"PC1: Psychological Stability vs. Dysfunctional Pathology (61.59% variance). Dominant dimension fuses interpersonal warmth, psychological stability, educational standing, and professional competence.",,,
Q26,RQ2,Ramona,QUANT,Principal Component,Ramona People Grid,PC2,PC2: Investment in Masculinity vs. Disengaged with Femininity (14.91% variance). Secondary dimension distributes relational energy along gendered lines.,,,
Q27,RQ2,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Mentally Unstable vs. Mental Stability — PC1 = -0.956; PC2 = -0.203,,,
Q28,RQ2,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Narcissistic and Passive Aggressive vs. Agreeable and Selfless — PC1 = -0.911; PC2 = 0.021,,,
Q29,RQ2,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,"Naturally Warm and Empathetic vs. Blunt, Abrupt, Not Warm — PC1 = 0.886; PC2 = 0.163",,,
Q30,RQ2,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Leadership Qualities vs. Non-Leader — PC1 = 0.852; PC2 = -0.194,,,
Q31,RQ2,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Educated vs. Not Educated — PC1 = 0.804; PC2 = -0.251,,,
Q32,RQ2,Ramona,QUANT,SU Construct Loading,Ramona People Grid,PC1/PC2,Addict vs. Non-Addict — PC1 = -0.762; PC2 = 0.098,,,
Q33,RQ2,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,"Likes Them, Invests Energy Into Relationship vs. Dislikes, Doesn't Invest — PC1 = 0.577; PC2 = 0.658",,,
Q34,RQ2,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Masculine vs. Feminine — PC1 = -0.336; PC2 = 0.762,,,
Q35,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Self (E1),"Self (E1) ≈ -5.0 PC1, ≈ -0.4 PC2",,,
Q36,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Ideal Self (E2),"Ideal Self (E2) ≈ -5.0 PC1, ≈ +0.1 PC2",,,
Q37,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Strong Client (E3),"Strong Client Relationship (E3) ≈ -3.0 PC1, ≈ +0.8 PC2",,,
Q38,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Difficult Client (E4),"Difficult Client (E4) ≈ +13.0 PC1, ≈ -1.6 PC2",,,
Q39,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Family w/SUD (E5),"Family w/SUD (E5) ≈ +7.0 PC1, ≈ +1.1 PC2",,,
Q40,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Friend (E6),"Friend (E6) ≈ -3.0 PC1, ≈ -1.9 PC2",,,
Q41,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Supervisor (E7),"Supervisor (E7) ≈ -5.0 PC1, ≈ +2.5 PC2",,,
Q42,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Admired Colleague (E8),"Admired Colleague (E8) ≈ -8.0 PC1, ≈ -0.4 PC2",,,
Q43,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Culturally Different Client (E9),"Culturally Different Client (E9) ≈ +8.0 PC1, ≈ -2.4 PC2",,,
Q44,RQ2,Ramona,QUANT,Element Position,Ramona People Grid,Disagreeable Colleague (E10),"Disagreeable Colleague (E10) ≈ +4.0 PC1, ≈ +2.2 PC2",,,
Q45,RQ2,Ramona,QUANT,Element Distance,Ramona People Grid,Self-Ideal Self,"≈ 0.0 units on PC1, ≈ 0.5 units on PC2. High congruence between current and aspirational professional selves.",,,
Q46,RQ2,Ramona,QUANT,Element Distance,Ramona People Grid,Self-Admired Colleague,"PC1 ≈ 3.0 units (same pole, Admired Colleague further along); PC2 ≈ 0.0 units. Admired Colleague exceeds Self on the dominant dimension; identical positioning on PC2.",,,
Q47,RQ2,Ramona,QUANT,Element Distance,Ramona People Grid,Self-Supervisor,PC1 ≈ 0.0 units (same position); PC2 ≈ 2.9 units. Supervisor shares primary stability-warmth orientation; separated on gendered relational investment dimension.,,,
Q48,RQ2,Ramona,QUANT,Element Distance,Ramona People Grid,Admired Colleague-Ideal Self,PC1 ≈ 3.0 units (same pole); PC2 ≈ 0.5 units. Admired Colleague sits further along PC1 than Ideal Self.,,,
Q49,RQ2,Ramona,QUANT,Element Distance,Ramona People Grid,Self-Friend (E6),PC1 ≈ 2.0 units (same pole); PC2 ≈ 1.5 units. Non-SUD Friend held within professional self-concept region on PC1.,,,
Q50,RQ2,Seth,QUANT,Principal Component,Seth People Grid,PC1,"PC1: Holistic Alignment vs. Frustrating Dissonance (63.6% variance). Dominant dimension fuses theoretical orientation, ethical evaluation, interpersonal compatibility, and educational credibility.",,,
Q51,RQ2,Seth,QUANT,Principal Component,Seth People Grid,PC2,PC2: Less-Skilled Personal Relationships vs. Aligned Mentors (19.6% variance). Secondary dimension captures developmental split between personal-potential and professional-aspirational relationships.,,,
Q52,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Agreeable Approach to Life vs. Conflicting Approach to Life — PC1 = 0.402; PC2 = 0.104,,,
Q53,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Refreshing to Spend Time with vs. Frustrating to Spend Time with — PC1 = 0.399; PC2 = -0.047,,,
